time,temperature,humidity,windspeed,city
2025-10-10T14:00,26.0,90,2.7,Danang
2025-10-10T15:00,25.8,92,3.6,Danang
2025-10-10T16:00,25.6,92,3.9,Danang
2025-10-10T17:00,25.4,92,3.9,Danang
2025-10-10T18:00,25.3,92,3.8,Danang
2025-10-10T19:00,25.0,93,3.8,Danang
2025-10-10T20:00,24.7,95,3.5,Danang
2025-10-10T21:00,24.6,95,3.7,Danang
2025-10-10T22:00,24.8,94,4.5,Danang
2025-10-10T23:00,25.1,92,5.6,Danang
