time,temperature,humidity,wind,city
2025-09-27T09:00,27.4,85,14.0,TP.HCM
2025-09-27T10:00,26.7,87,11.8,TP.HCM
2025-09-27T11:00,25.9,90,8.7,TP.HCM
2025-09-27T12:00,25.2,92,6.5,TP.HCM
2025-09-27T13:00,25.0,94,5.5,TP.HCM
2025-09-27T14:00,24.9,95,5.4,TP.HCM
2025-09-27T15:00,24.9,96,5.8,TP.HCM
2025-09-27T16:00,24.8,96,6.8,TP.HCM
2025-09-27T17:00,24.7,95,8.3,TP.HCM
2025-09-27T18:00,24.7,95,9.0,TP.HCM
2025-09-27T19:00,24.6,95,8.6,TP.HCM
2025-09-27T20:00,24.5,95,7.6,TP.HCM
2025-09-27T21:00,24.4,95,6.5,TP.HCM
2025-09-27T22:00,24.3,96,5.8,TP.HCM
2025-09-27T23:00,24.2,96,5.1,TP.HCM
2025-09-28T00:00,24.4,96,4.8,TP.HCM
2025-09-28T01:00,24.9,95,4.8,TP.HCM
2025-09-28T02:00,25.6,93,5.4,TP.HCM
2025-09-28T03:00,26.3,90,5.8,TP.HCM
2025-09-28T04:00,27.0,87,6.6,TP.HCM
2025-09-28T05:00,27.8,83,7.3,TP.HCM
2025-09-28T06:00,28.3,80,7.9,TP.HCM
2025-09-28T07:00,28.5,79,8.0,TP.HCM
2025-09-28T08:00,28.4,79,8.7,TP.HCM
2025-09-28T09:00,28.1,80,9.2,TP.HCM
2025-09-28T10:00,27.2,85,9.9,TP.HCM
2025-09-28T11:00,26.1,91,10.5,TP.HCM
2025-09-28T12:00,25.3,95,10.8,TP.HCM
2025-09-28T13:00,25.2,95,10.9,TP.HCM
2025-09-28T14:00,25.3,94,10.8,TP.HCM
2025-09-28T15:00,25.4,93,10.2,TP.HCM
2025-09-28T16:00,25.2,93,9.6,TP.HCM
2025-09-28T17:00,24.9,94,8.7,TP.HCM
2025-09-28T18:00,24.6,94,8.1,TP.HCM
2025-09-28T19:00,24.5,94,7.6,TP.HCM
2025-09-28T20:00,24.5,94,7.2,TP.HCM
2025-09-28T21:00,24.5,94,6.8,TP.HCM
2025-09-28T22:00,24.6,94,6.8,TP.HCM
2025-09-28T23:00,24.8,94,6.9,TP.HCM
2025-09-22T00:00,26.8,91,4.1,Đà Nẵng
2025-09-22T01:00,28.3,85,3.2,Đà Nẵng
2025-09-22T02:00,29.5,78,2.3,Đà Nẵng
2025-09-22T03:00,30.3,75,1.6,Đà Nẵng
2025-09-22T04:00,31.4,71,3.2,Đà Nẵng
2025-09-22T05:00,31.9,70,7.0,Đà Nẵng
2025-09-22T06:00,31.1,74,11.3,Đà Nẵng
2025-09-22T07:00,30.8,74,12.8,Đà Nẵng
2025-09-22T08:00,30.7,74,12.2,Đà Nẵng
2025-09-22T09:00,30.0,75,11.0,Đà Nẵng
2025-09-22T10:00,29.5,77,9.7,Đà Nẵng
2025-09-22T11:00,28.6,82,5.5,Đà Nẵng
2025-09-22T12:00,28.2,86,1.8,Đà Nẵng
2025-09-22T13:00,27.6,89,3.3,Đà Nẵng
2025-09-22T14:00,27.1,90,5.5,Đà Nẵng
2025-09-22T15:00,26.8,89,6.8,Đà Nẵng
2025-09-22T16:00,26.6,89,6.9,Đà Nẵng
2025-09-22T17:00,26.3,91,5.1,Đà Nẵng
2025-09-22T18:00,26.1,92,3.5,Đà Nẵng
2025-09-22T19:00,25.9,93,2.9,Đà Nẵng
2025-09-22T20:00,25.9,93,2.2,Đà Nẵng
2025-09-22T21:00,25.8,94,3.2,Đà Nẵng
2025-09-22T22:00,25.7,94,3.3,Đà Nẵng
2025-09-22T23:00,25.7,94,3.3,Đà Nẵng
2025-09-23T00:00,26.7,90,3.1,Đà Nẵng
2025-09-23T01:00,27.9,85,3.4,Đà Nẵng
2025-09-23T02:00,28.9,82,1.6,Đà Nẵng
2025-09-23T03:00,30.0,78,1.3,Đà Nẵng
2025-09-23T04:00,31.3,70,2.8,Đà Nẵng
2025-09-23T05:00,32.1,68,5.7,Đà Nẵng
2025-09-23T06:00,32.1,70,9.5,Đà Nẵng
2025-09-23T07:00,30.7,74,10.8,Đà Nẵng
2025-09-23T08:00,31.3,71,8.0,Đà Nẵng
2025-09-23T09:00,31.1,72,5.8,Đà Nẵng
2025-09-23T10:00,30.6,74,2.2,Đà Nẵng
2025-09-23T11:00,29.7,79,0.8,Đà Nẵng
2025-09-23T12:00,28.5,86,4.2,Đà Nẵng
2025-09-23T13:00,27.9,88,5.4,Đà Nẵng
2025-09-23T14:00,27.6,88,4.6,Đà Nẵng
2025-09-23T15:00,27.3,88,4.3,Đà Nẵng
2025-09-23T16:00,27.1,89,2.3,Đà Nẵng
2025-09-23T17:00,27.0,91,1.1,Đà Nẵng
2025-09-23T18:00,26.9,92,2.2,Đà Nẵng
2025-09-23T19:00,26.8,92,2.2,Đà Nẵng
2025-09-23T20:00,26.7,92,3.1,Đà Nẵng
2025-09-23T21:00,26.6,93,2.6,Đà Nẵng
2025-09-23T22:00,26.5,93,2.5,Đà Nẵng
2025-09-23T23:00,26.4,93,2.9,Đà Nẵng
2025-09-24T00:00,27.5,89,2.9,Đà Nẵng
2025-09-24T01:00,28.6,81,3.7,Đà Nẵng
2025-09-24T02:00,28.9,76,5.2,Đà Nẵng
2025-09-24T03:00,30.0,73,4.0,Đà Nẵng
2025-09-24T04:00,31.3,69,4.6,Đà Nẵng
2025-09-24T05:00,31.3,68,5.4,Đà Nẵng
2025-09-24T06:00,31.1,72,4.1,Đà Nẵng
2025-09-24T07:00,30.4,76,6.2,Đà Nẵng
2025-09-24T08:00,30.4,78,5.2,Đà Nẵng
2025-09-24T09:00,30.3,78,4.9,Đà Nẵng
2025-09-24T10:00,29.8,79,3.7,Đà Nẵng
2025-09-24T11:00,29.1,85,3.3,Đà Nẵng
2025-09-24T12:00,28.4,89,2.7,Đà Nẵng
2025-09-24T13:00,27.8,92,3.3,Đà Nẵng
2025-09-24T14:00,27.6,89,5.7,Đà Nẵng
2025-09-24T15:00,27.6,88,3.6,Đà Nẵng
2025-09-24T16:00,27.4,90,2.5,Đà Nẵng
2025-09-24T17:00,27.4,91,1.6,Đà Nẵng
2025-09-24T18:00,27.2,93,2.9,Đà Nẵng
2025-09-24T19:00,27.1,94,4.1,Đà Nẵng
2025-09-24T20:00,27.1,92,4.3,Đà Nẵng
2025-09-24T21:00,27.0,87,4.5,Đà Nẵng
2025-09-24T22:00,26.5,82,8.6,Đà Nẵng
2025-09-24T23:00,25.8,86,7.1,Đà Nẵng
2025-09-25T00:00,26.0,87,6.7,Đà Nẵng
2025-09-25T01:00,26.9,84,7.2,Đà Nẵng
2025-09-25T02:00,27.8,82,6.8,Đà Nẵng
2025-09-25T03:00,28.8,81,4.3,Đà Nẵng
2025-09-25T04:00,30.0,76,3.8,Đà Nẵng
2025-09-25T05:00,30.7,73,3.1,Đà Nẵng
2025-09-25T06:00,31.0,70,5.3,Đà Nẵng
2025-09-25T07:00,30.8,72,3.0,Đà Nẵng
2025-09-25T08:00,30.2,77,1.8,Đà Nẵng
2025-09-25T09:00,29.6,82,3.9,Đà Nẵng
2025-09-25T10:00,29.0,85,4.2,Đà Nẵng
2025-09-25T11:00,28.5,88,3.7,Đà Nẵng
